"Brand","Price","Photo","Model.Number","Engine.Type","Fuel.Type","Air.Conditioner","Heater","AntiLock.Braking.System","Central.Locking","Power.Steering","Power.Windows","Leather.Seats","Anti.Lock.Braking","Brake.Assist","Central.Locking.1","Power.Door.Locks","Child.Safety.Locks","Night.Rear.View.Mirror","Rear.Seat.Belts","Door.Ajar.Warning","Adjustable.Seats","Crash.Sensor","Engine.Check.Warning","Rear.Camera","Anti.Theft.Device","Touch.Screen","Audio.System.Remote.Control","Speakers.Front...back","Bluetooth.Connectivity","USB...Auxiliary.Input","Adjustable.Steering.Column","Height.Adjustable.Driving.Seat","Digital.Clock","Smoke.Headlamps","Electric.Folding.Rear.View.Mirror","Automatic.Climate.Control","Low.Fuel.Warning.Light","Parking.Sensors","Bottle.Holder","Voice.Control","Seat.Belt.Warning","Vehicle.Stability.Control.System","Engine.Immobilizer","Rear.Reading.Lamp","Radio","Outside.Temperature.Display","Fog.Lights.Front...Back","Centrally.Mounted.Fuel.Tank","CD.Player","DVD.Player","Electric.Adjustable.Seats","Keyless.Entry","Tyre.Pressure.Monitor","Smart.Access.Card.Entry","Xenon.Headlamps","Halogen.Headlamps","Removable.Convertible.Top","Cassette.Player","power_hp","pojemnosc_L","moment_obrotowy_lb_ft","wysokosc_in","dlugosc_in","szerokosc_in","rozstaw_osi_in","przeswit_in","cylindry","bak","skrzynia_biegow","naped","siedzenia","drzwi","waga_lbs","paliwo","city_mpg","highway_mpg","nadwozie","Safety","Punkty_spalanie_miasto","Punkty_spalanie_trasa","Punkty_spalanie_srednie","moc_masa","Punkty_moc_masa","Punkty_moment_obrotowy","Punkty_dynamika","Punkty_naped_terenowy","Punkty_nadwozie_terenowe","Punkty_przeswit","Punkty_wlasciwosci_terenowe","Punkty_bezpieczenstwo_wyposazenie","rozmiar","Punkty_rozmiar","Punkty_bezpieczenstwo","Punkty_rozmiar_silnika","Punkty_naped_sportowy","Punkty_cylindry","Punkty_nadwozie_sportowe","Punkty_sportowy_charakter","Punkty_cena","Punkty_rozmiar_miasto","Punkty_miasto","Punkty_rozmiar_trasa","Punkty_paliwo_trasa","Punkty_pojemnosc_baku","Punkty_trasa","Punkty_siedzenia","Punkty_rodzinny","Punkty_uniwersalny"
"Honda",31670,"https://www.ccarprice.com/products/Honda_Accord_Hybrid_Sport-L_2023.jpg","Accord Hybrid Sport-L 2023","2.0L Inline-4 Hybrid","Hybrid","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",204,2,247,57.1,196.1,73.3,111.4,5.8,4,34,"CVT","front",5,4,3375,"Hybrid",44,41,"Sedan",5.9,3.4,3.1,3.2,0.0604444444444444,1,1,1.2,3,3,3.6,3.6,6.7,820762.823,3.8,4.9,1.3,2,0.8,6,2.4,10,6.2,4.9,0,7,0.5,3.5,2.9,4.3,5.5
"Honda",28000,"https://www.ccarprice.com/products/Honda_Accord_Sedan_2023.jpg","Accord Sedan 2023","1.5L Turbo Inline-4 Gas","Gasoline","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",192,1.5,260,57.1,196.1,73.3,111.4,NA,4,39,"CVT","front",5,4,3150,"Petrol",30,38,"Sedan",5.9,5.5,3.6,4.6,0.060952380952381,1,1,1.2,3,3,0,2.2,6.7,820762.823,3.8,4.9,0.8,2,0.8,6,2.3,10,6.2,6,0,10,0.5,4.7,2.9,4.3,6.5
"Honda",25000,"https://www.ccarprice.com/products/Honda_ZRV_2023.jpg","ZR-V 2023","2.0L Inline-4","Gasoline","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","Yes","","","","Yes","","","","","","",158,2,138,63.4,179.8,72.4,104.5,NA,4,NA,"CVT","front",5,4,NA,"Petrol",26,32,"SUV",5.9,6.1,4.6,5.3,0,0,0.5,0.2,3,8,0,4.1,5.6,825310.768,3.8,4.3,1.3,2,0.8,4,1.7,10,6.2,6.4,0,10,0,4.9,2.9,4.3,6.8
"Honda",27800,"https://www.ccarprice.com/products/Honda_HR-V_VTi-S_2022.jpg","HR-V VTi-S 2022","2.0L Inline-4 Gas","Gasoline","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","Yes","Yes","","","Yes","Yes","","","","","","",119,2,107,64,174,72,104,8,4,40,"CVT","front",5,4,2787,"Petrol",13,15,"SUV",6.6,8.1,7.5,7.8,0.0426982418371008,0.7,0.4,0.7,3,8,5,6,6.1,801792,3.7,4.6,1.3,2,0.8,4,2,10,6.3,7.4,0,10,0.5,6.1,2.9,4.3,7.7
"Honda",26900,"https://www.ccarprice.com/products/Honda_HR-V_VTi_2022.jpg","HR-V VTi 2022","2.0L Inline-4 Gas","Gasoline","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","Yes","Yes","","","","Yes","","","","","","",119,2,107,64,174,72,104,8,4,40,"CVT","front",5,4,2787,"Petrol",13,15,"SUV",6.2,8.1,7.5,7.8,0.0426982418371008,0.7,0.4,0.7,3,8,5,6,6.1,801792,3.7,4.6,1.3,2,0.8,4,2,10,6.3,7.4,0,10,0.5,6.1,2.9,4.3,7.7
"Honda",25440,"https://www.ccarprice.com/products/Honda_Civic_Sport_2023.jpg","Civic Sport 2023","2.0L Inline-4 Gas","Petrol","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","","","","","","","","","","",158,2,138,55.7,179,70.9,107.7,5.2,NA,33,"CVT","front",5,4,2984,"Petrol",29,37,"Hatchback",6.9,5.7,3.7,4.7,0.0529490616621984,0.9,0.5,0.8,3,6.5,3.2,4.8,8.3,706894.27,3.3,5.7,1.3,2,0,8,2.7,10,6.7,6.4,1,10,0.4,5.1,2.9,4.1,6.8
"Honda",29990,"https://www.ccarprice.com/products/Honda_CR_V_LX_2023.jpg","CR-V LX 2023","1.5L Turbo Inline-4 Gas","Gasoline","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","","Yes","","","","","","","","","","","","",190,1.5,179,66.1,182.1,73,104.8,6.2,4,4,"CVT","front",5,4,3337,"Petrol",28,34,"SUV",6.2,5.8,4.2,5,0.0569373688942164,0.9,0.7,0.9,3,8,3.9,5.6,7.8,878687.13,4,5.8,0.8,2,0.8,4,1.8,10,6,6.1,0,10,0.1,4.9,2.9,4.6,6.8
"Honda",65000,"https://www.ccarprice.com/products/Honda_Clarity_Fuel_Cell_2023.jpg","Clarity Fuel Cell 2023","Electric","Electric","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","Yes","Yes","","","","","","",174,NA,221,58.2,192.7,73.9,108.3,NA,NA,23,"Automatic","front",5,4,4134,"Electric",0,0,"Sedan",6.2,10,10,10,0.0420899854862119,0.7,0.9,0.9,3,3,0,2.2,7.2,828798.846,3.8,5.3,0,2,0,6,1.8,10,6.2,8.4,0,2,0.3,4.2,2.9,4.3,7.3
"Honda",46230,"https://www.ccarprice.com/products/Honda_Ridgeline_Black_Edition_2023.jpg","Ridgeline Black Edition 2023","3.5L V6 Gas","Petrol","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",280,3.5,262,70.8,210.2,78.6,125.2,NA,6,52,"Automatic","all",5,4,4510,"Petrol",18,24,"SUV",6.6,7.3,5.9,6.6,0.0620842572062084,1,1,1.2,7,8,0,5.6,7.8,1169737.776,5.4,6.6,3,8,2.3,4,4.3,10,4.6,6.1,2,10,0.7,6.4,2.9,5.5,7.8
"Honda",33760,"https://www.ccarprice.com/products/Honda_CR-V_EX-L_2023.jpg","CR-V EX-L 2023","1.5-liter Turbo Inline-4 Gas","Petrol","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","",190,1.5,179,66.2,184.8,73.5,106.3,NA,4,4,"CVT","front",5,4,3525,"Petrol",28,34,"SUV",6.6,5.8,4.2,5,0.0539007092198582,0.9,0.7,0.9,3,8,0,4.1,7.8,899181.36,4.1,5.8,0.8,2,0.8,4,1.8,10,5.9,6,0,10,0.1,4.9,2.9,4.6,6.8
