"Brand","Price","Photo","Model.Number","Engine.Type","Fuel.Type","Fuel.Tank.Capacity..Litres.","Air.Conditioner","Heater","AntiLock.Braking.System","Central.Locking","Power.Steering","Power.Windows","Leather.Seats","Anti.Lock.Braking","Brake.Assist","Central.Locking.1","Power.Door.Locks","Child.Safety.Locks","Night.Rear.View.Mirror","Rear.Seat.Belts","Door.Ajar.Warning","Adjustable.Seats","Crash.Sensor","Engine.Check.Warning","Rear.Camera","Anti.Theft.Device","Touch.Screen","Audio.System.Remote.Control","Speakers.Front...back","Bluetooth.Connectivity","USB...Auxiliary.Input","Adjustable.Steering.Column","Height.Adjustable.Driving.Seat","Digital.Clock","Smoke.Headlamps","Electric.Folding.Rear.View.Mirror","Automatic.Climate.Control","Low.Fuel.Warning.Light","Parking.Sensors","Bottle.Holder","Voice.Control","Seat.Belt.Warning","Vehicle.Stability.Control.System","Engine.Immobilizer","Rear.Reading.Lamp","Radio","Outside.Temperature.Display","Fog.Lights.Front...Back","Centrally.Mounted.Fuel.Tank","CD.Player","DVD.Player","Electric.Adjustable.Seats","Keyless.Entry","Tyre.Pressure.Monitor","Smart.Access.Card.Entry","Xenon.Headlamps","Halogen.Headlamps","Removable.Convertible.Top","Cassette.Player","power_hp","pojemnosc_L","moment_obrotowy_lb_ft","wysokosc_in","dlugosc_in","szerokosc_in","rozstaw_osi_in","przeswit_in","cylindry","bak","skrzynia_biegow","naped","siedzenia","drzwi","waga_lbs","paliwo","city_mpg","highway_mpg","nadwozie"
"Honda","A","https://www.ccarprice.com/products/Honda_Accord_Hybrid_EX_L_20.jpg","Accord Hybrid EX L 2023","2.0L Inline-4 Hybrid","Hybrid","12.8 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",143,2,129,57.1,196.1,73.3,111.4,5.8,6,45,"CVT","front",5,4,3488,"Hybrid",39,49,"Sedan"
"Honda","A","https://www.ccarprice.com/products/Honda_Civic_LX_CVT_2023_1.jpg","Civic LX CVT 2023","2.0-liter Inline-4 Gas","Petrol","12.4 gallons","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","",158,2,138,55.7,182.7,70.9,106.3,NA,4,45,"CVT","front",5,4,2771,"Petrol",30,38,"Sedan"
"Honda","A","https://www.ccarprice.com/products/Honda_Civic_Sport_CVT_2023.jpg","Civic Sport CVT 2023","2.0-liter Inline-4 Gas","Petrol","12.4 gallons","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","",158,2,138,55.7,182.7,70.9,106.3,NA,4,45,"CVT","front",NA,NA,2847,"Petrol",29,37,"Sedan"
"Honda","A","https://www.ccarprice.com/products/Honda_Civic_LX_Hatchback_20.jpg","Civic LX Hatchback 2023","1.5-liter Turbo Inline-4 Gas","Petrol","12.4 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","",174,1.5,162,56.5,177.9,70.8,106.3,NA,4,45,"CVT","front",NA,NA,2906,"Petrol",31,40,"Hatchback"
"Honda","A","https://www.ccarprice.com/products/Honda_CR-V_LX_2023.jpg","CR-V LX 2023","1.5-liter Inline-4 Hybrid","34 MPG","14 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","",190,1.5,179,66.1,183.6,73,104.8,NA,4,53,"CVT","front",5,4,3337,"Unknown",28,34,"SUV"
"Honda","31,670","https://www.ccarprice.com/products/Honda_Accord_Hybrid_Sport-L_2023.jpg","Accord Hybrid Sport-L 2023","2.0L Inline-4 Hybrid","Hybrid","12.8 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",204,2,247,57.1,196.1,73.3,111.4,5.8,4,45,"CVT","front",5,4,3375,"Hybrid",44,41,"Sedan"
"Honda","28,000","https://www.ccarprice.com/products/Honda_Accord_Sedan_2023.jpg","Accord Sedan 2023","1.5L Turbo Inline-4 Gas","Gasoline","14.8 gallons","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",192,1.5,260,57.1,196.1,73.3,111.4,NA,4,53,"CVT","front",5,4,3150,"Petrol",30,38,"Sedan"
"Honda","25,000","https://www.ccarprice.com/products/Honda_ZRV_2023.jpg","ZR-V 2023","2.0L Inline-4","Gasoline","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","Yes","","","","Yes","","","","","","",158,2,138,63.4,179.8,72.4,104.5,NA,4,NA,"CVT","front",5,4,NA,"Petrol",26,32,"SUV"
"Honda","27,800","https://www.ccarprice.com/products/Honda_HR-V_VTi-S_2022.jpg","HR-V VTi-S 2022","2.0L Inline-4 Gas","Gasoline","40 L","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","Yes","Yes","","","Yes","Yes","","","","","","",119,2,107,64,174,72,104,8,4,40,"CVT","front",5,4,2787,"Petrol",13,15,"SUV"
"Honda","26,900","https://www.ccarprice.com/products/Honda_HR-V_VTi_2022.jpg","HR-V VTi 2022","2.0L Inline-4 Gas","Gasoline","40 L","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","Yes","Yes","","","","Yes","","","","","","",119,2,107,64,174,72,104,8,4,40,"CVT","front",5,4,2787,"Petrol",13,15,"SUV"
